id,ddG_DDGun3D
0.0,1.2
1.0,-2.0
2.0,-0.5
3.0,-0.5
4.0,-0.1
5.0,0.7
6.0,0.5
7.0,-0.3
8.0,0.6
9.0,0.0
10.0,-2.9
11.0,-1.1
12.0,-0.8
13.0,-0.3
14.0,-2.5
15.0,-2.8
16.0,0.5
17.0,0.7
18.0,0.5
19.0,-0.9
20.0,-1.8
21.0,-0.7
22.0,-1.0
23.0,0.8
24.0,-0.3
25.0,0.1
26.0,-1.3
27.0,-0.4
28.0,-0.7
29.0,0.4
30.0,-1.4
31.0,-3.1
32.0,-0.1
33.0,-1.0
34.0,-2.3
35.0,-2.3
36.0,-0.1
37.0,-0.3
38.0,0.7
39.0,-3.1
40.0,-2.0
41.0,0.0
42.0,-0.6
43.0,-4.2
44.0,0.4
45.0,0.1
46.0,0.1
47.0,-1.4
48.0,-0.2
49.0,0.4
50.0,-0.4
51.0,0.2
52.0,-2.8
53.0,0.0
54.0,0.1
55.0,0.0
56.0,-0.2
57.0,-0.0
58.0,-0.3
59.0,-1.2
60.0,-0.3
61.0,1.5
62.0,0.3
63.0,-0.7
64.0,0.1
65.0,-1.0
66.0,0.7
67.0,-2.4
68.0,2.7
69.0,0.2
70.0,-0.5
71.0,-5.1
72.0,-0.3
73.0,-0.3
74.0,0.4
75.0,0.6
76.0,0.1
77.0,-0.8
78.0,-0.0
79.0,-4.3
80.0,-0.2
81.0,-0.3
82.0,0.3
83.0,-0.3
84.0,-1.9
85.0,-2.7
86.0,0.1
87.0,-0.4
88.0,-1.4
89.0,-2.3
90.0,-0.7
91.0,-1.9
92.0,0.8
93.0,0.0
94.0,-0.0
95.0,-0.1
96.0,-0.8
97.0,-3.3
98.0,-0.0
99.0,0.7
100.0,-1.4
101.0,-0.6
102.0,0.2
103.0,-0.3
104.0,-1.1
105.0,0.3
106.0,2.3
107.0,-3.0
108.0,-0.6
109.0,-3.6
110.0,-0.1
111.0,0.3
112.0,-2.0
113.0,-0.1
114.0,-1.7
115.0,0.7
116.0,-0.9
117.0,-0.2
118.0,0.1
119.0,-0.2
120.0,-0.5
121.0,0.6
122.0,-0.1
123.0,-2.3
124.0,-0.8
125.0,0.1
126.0,0.3
127.0,-0.8
128.0,-0.2
129.0,0.1
130.0,0.1
131.0,-0.9
132.0,-0.1
133.0,0.5
134.0,-1.3
135.0,-0.6
136.0,0.4
137.0,-0.3
138.0,-0.3
139.0,0.3
140.0,-0.4
141.0,-1.6
142.0,0.3
143.0,0.6
144.0,0.0
145.0,0.1
146.0,-0.3
147.0,-0.4
148.0,0.3
149.0,-0.2
150.0,-0.4
151.0,0.1
152.0,-2.0
153.0,-0.1
154.0,-0.2
155.0,1.7
156.0,0.2
157.0,-2.4
158.0,-0.8
159.0,-2.3
160.0,-0.2
161.0,-0.7
162.0,0.2
163.0,-2.5
164.0,-3.3
165.0,-0.5
166.0,-0.1
167.0,-1.0
168.0,0.2
169.0,-2.8
170.0,-3.9
171.0,-0.1
172.0,-3.4
173.0,-1.2
174.0,-0.8
175.0,0.2
176.0,-0.3
177.0,0.8
178.0,-2.8
179.0,0.5
181.0,-0.6
182.0,0.2
183.0,0.3
184.0,-0.3
186.0,-1.1
187.0,0.5
188.0,0.2
189.0,0.5
190.0,-0.2
191.0,0.1
192.0,0.2
193.0,2.0
194.0,-0.4
195.0,-1.3
196.0,-0.4
197.0,-2.9
198.0,-0.0
199.0,-2.0
200.0,2.1
201.0,-0.1
202.0,-0.1
203.0,-0.3
204.0,0.2
205.0,0.2
206.0,-0.3
207.0,-4.0
208.0,-0.1
209.0,-0.0
210.0,0.3
211.0,0.0
212.0,-1.9
213.0,-0.0
214.0,0.3
215.0,0.0
216.0,-0.7
217.0,-1.9
218.0,0.1
219.0,-0.7
220.0,0.2
221.0,0.1
222.0,0.4
223.0,-0.3
224.0,0.0
225.0,0.3
226.0,-0.5
227.0,-0.1
228.0,0.7
229.0,-0.8
230.0,-0.4
231.0,-0.3
232.0,-1.8
233.0,-0.1
234.0,-1.3
235.0,-0.2
236.0,-0.3
237.0,-1.0
238.0,0.0
239.0,0.1
240.0,-1.9
241.0,0.4
242.0,-0.2
243.0,-0.3
244.0,0.1
245.0,-1.2
246.0,-0.1
247.0,0.3
248.0,-1.9
249.0,-0.2
250.0,-0.4
251.0,-0.1
252.0,0.1
253.0,0.1
254.0,0.0
255.0,-0.2
256.0,0.1
257.0,-1.5
258.0,0.1
259.0,-0.3
260.0,-0.4
261.0,-2.5
262.0,-4.6
263.0,3.4
264.0,-0.0
265.0,-0.3
266.0,-2.9
267.0,0.1
268.0,1.4
269.0,-0.0
270.0,0.0
271.0,-0.1
272.0,-0.0
273.0,-0.0
274.0,-1.3
275.0,-0.9
276.0,1.8
277.0,-1.0
278.0,-4.0
279.0,2.1
280.0,-0.0
281.0,0.5
282.0,-0.4
283.0,-1.6
284.0,0.5
285.0,-0.2
286.0,0.2
287.0,-0.4
288.0,0.3
289.0,-1.0
290.0,-0.1
291.0,-1.4
292.0,-0.0
293.0,-0.6
294.0,0.3
295.0,0.0
296.0,-0.2
297.0,-1.6
298.0,0.2
299.0,0.4
300.0,-0.5
301.0,-0.5
302.0,-3.1
303.0,-2.1
304.0,-0.4
305.0,-0.2
306.0,-0.3
307.0,0.0
308.0,-0.4
309.0,0.2
310.0,-0.8
311.0,-0.4
312.0,-3.5
313.0,-0.1
314.0,-0.1
315.0,-0.8
316.0,0.1
317.0,-0.7
318.0,-0.2
319.0,-0.1
320.0,-2.4
321.0,0.5
322.0,0.2
323.0,-3.4
324.0,-0.5
325.0,-2.9
326.0,-1.2
327.0,-0.0
328.0,-0.2
329.0,0.5
330.0,0.3
331.0,0.1
332.0,0.2
333.0,-0.1
334.0,-0.1
335.0,0.0
336.0,-4.0
337.0,-0.2
338.0,0.6
339.0,1.9
340.0,0.1
341.0,-0.6
342.0,0.4
343.0,0.1
344.0,-1.2
345.0,-0.1
346.0,-0.3
347.0,0.5
348.0,-0.4
349.0,0.3
350.0,0.1
351.0,-3.3
352.0,0.3
353.0,-1.3
354.0,0.3
355.0,0.2
356.0,-0.6
357.0,0.4
358.0,-0.1
359.0,-0.0
360.0,-0.1
361.0,0.1
362.0,-0.8
363.0,-0.3
364.0,0.1
365.0,-0.6
366.0,0.2
367.0,0.4
368.0,0.2
369.0,0.1
370.0,-0.2
371.0,-2.0
372.0,0.7
373.0,-4.2
374.0,-0.9
375.0,1.9
376.0,0.1
377.0,-0.3
378.0,0.7
379.0,0.0
380.0,0.6
381.0,-0.0
382.0,0.9
383.0,-0.6
384.0,-0.0
385.0,-0.4
386.0,0.1
387.0,1.2
388.0,0.1
389.0,0.3
390.0,-0.1
391.0,-1.7
392.0,0.9
393.0,-1.1
394.0,-0.8
395.0,0.0
396.0,0.1
397.0,-0.2
398.0,0.1
399.0,-1.1
400.0,-0.3
401.0,0.3
402.0,-0.4
403.0,0.1
404.0,-0.2
405.0,-0.7
406.0,0.1
407.0,-0.0
408.0,0.7
409.0,3.0
410.0,-0.0
411.0,-0.4
412.0,-0.4
413.0,-0.2
414.0,0.2
415.0,-1.1
416.0,0.3
417.0,-1.0
418.0,0.5
419.0,1.3
420.0,-0.1
421.0,-0.6
422.0,-0.6
423.0,0.2
424.0,-1.2
425.0,0.5
426.0,0.5
427.0,-0.6
428.0,-0.7
429.0,0.6
430.0,-0.0
431.0,0.3
432.0,-0.6
433.0,0.5
434.0,0.1
435.0,-0.4
436.0,-0.7
437.0,1.6
438.0,0.3
439.0,-0.3
440.0,-0.6
