id,ddG_DUET
0.0,-0.175
1.0,-2.321
2.0,0.451
4.0,0.017
5.0,-1.458
6.0,0.28
7.0,-0.23
8.0,0.476
9.0,0.93
10.0,-3.062
11.0,-1.577
12.0,-1.153
13.0,-1.645
14.0,-1.719
15.0,-3.407
16.0,-1.019
17.0,-1.021
18.0,-0.615
19.0,-1.477
20.0,-1.51
21.0,-0.546
22.0,-0.882
23.0,-0.118
24.0,-0.314
25.0,-0.165
26.0,-0.606
27.0,-1.888
28.0,-1.177
29.0,-0.256
30.0,-1.887
31.0,-3.53
32.0,-0.827
33.0,-1.032
34.0,-2.577
35.0,-2.591
36.0,-0.423
37.0,0.34
38.0,-0.367
39.0,-3.594
40.0,-3.137
41.0,-0.212
42.0,-1.283
43.0,-3.801
44.0,0.361
45.0,0.59
46.0,-0.218
47.0,-1.708
48.0,-0.276
49.0,-0.294
50.0,-0.825
51.0,-1.659
52.0,-2.467
53.0,0.083
54.0,0.589
55.0,-0.033
56.0,-0.385
57.0,-0.041
58.0,0.777
59.0,-1.689
60.0,-0.75
61.0,0.189
62.0,0.005
63.0,-0.839
64.0,-0.29
65.0,-1.406
66.0,-0.451
67.0,-3.014
68.0,0.745
69.0,-0.079
71.0,-3.334
72.0,-0.06
73.0,-1.127
74.0,0.047
75.0,-0.669
76.0,-0.505
77.0,-1.561
78.0,-0.798
79.0,-2.422
80.0,-0.408
81.0,0.195
82.0,0.554
83.0,-0.089
84.0,-3.546
85.0,-3.358
86.0,-1.514
87.0,-0.971
88.0,-2.471
89.0,-1.68
90.0,2.077
91.0,-3.013
92.0,0.304
93.0,-0.149
94.0,-1.889
95.0,0.238
97.0,-3.916
98.0,0.014
99.0,-1.264
100.0,-1.835
101.0,-2.001
102.0,-0.185
103.0,-1.31
104.0,-1.396
105.0,-0.494
106.0,1.161
107.0,-3.152
108.0,0.792
109.0,-2.934
110.0,-0.566
111.0,-0.6
112.0,-2.031
113.0,-1.247
114.0,-2.122
115.0,-0.546
117.0,0.438
118.0,-0.513
119.0,-1.194
120.0,-0.485
121.0,-0.027
122.0,0.617
123.0,-2.802
124.0,-0.143
125.0,0.361
126.0,0.186
127.0,-0.01
128.0,-0.482
129.0,-0.044
130.0,-1.303
132.0,-1.22
133.0,-0.115
134.0,-1.074
135.0,-1.741
136.0,0.575
137.0,-1.048
138.0,-0.543
139.0,-0.67
140.0,-0.505
141.0,-0.746
142.0,-0.658
143.0,0.22
144.0,0.411
145.0,0.393
146.0,-1.064
148.0,-0.022
149.0,-0.138
150.0,-2.236
151.0,0.487
152.0,-2.385
153.0,-0.536
154.0,0.047
155.0,-0.482
156.0,-0.404
157.0,-2.517
158.0,-0.48
159.0,-1.344
160.0,0.094
161.0,-0.148
162.0,0.032
163.0,-3.019
164.0,-3.007
165.0,-0.36
166.0,-0.376
167.0,0.363
168.0,0.182
169.0,-3.656
170.0,-4.172
171.0,-2.69
172.0,-2.22
173.0,0.2
174.0,0.122
175.0,-0.157
176.0,-0.136
177.0,0.806
178.0,-1.759
179.0,0.71
180.0,-0.682
181.0,-0.812
183.0,-0.304
184.0,1.082
185.0,-0.242
186.0,-1.203
187.0,-0.988
188.0,0.454
190.0,-0.175
191.0,0.265
192.0,-0.676
193.0,0.076
194.0,0.174
195.0,-2.703
196.0,-1.224
198.0,0.05
199.0,-3.616
200.0,0.693
201.0,0.155
202.0,0.284
203.0,-0.78
204.0,-0.659
205.0,0.292
206.0,-0.898
207.0,-3.834
208.0,-0.664
209.0,-1.874
210.0,0.036
212.0,-1.062
213.0,0.239
214.0,-0.507
215.0,0.751
216.0,-1.646
217.0,-2.56
218.0,-0.166
219.0,-2.485
220.0,0.395
222.0,0.338
223.0,1.946
224.0,0.211
225.0,-0.105
226.0,-0.93
227.0,0.265
228.0,0.091
229.0,-1.356
230.0,-0.103
231.0,-1.132
232.0,-2.43
233.0,-0.835
234.0,-0.072
235.0,-0.5
236.0,-0.585
237.0,-1.571
238.0,0.131
239.0,-0.31
240.0,-3.072
241.0,-0.027
242.0,-0.576
243.0,-0.84
244.0,-0.728
245.0,-1.965
246.0,-0.514
247.0,-0.462
248.0,-2.112
249.0,-0.813
250.0,-0.781
251.0,0.739
252.0,-0.109
253.0,-0.501
254.0,-0.7
255.0,-0.495
256.0,0.078
257.0,-0.607
258.0,-0.398
259.0,0.365
260.0,-1.023
261.0,-3.364
262.0,-3.47
263.0,1.559
264.0,-0.135
265.0,0.489
266.0,-2.829
267.0,-0.201
268.0,0.771
269.0,-0.061
270.0,-0.356
271.0,-0.406
272.0,0.646
273.0,0.386
274.0,-1.227
275.0,-0.843
276.0,0.034
277.0,-1.559
278.0,-3.435
279.0,1.359
280.0,0.137
281.0,-0.669
282.0,-0.479
283.0,-0.507
284.0,0.23
285.0,-0.613
286.0,-0.029
287.0,-0.046
288.0,-0.67
289.0,-0.678
290.0,0.117
291.0,-2.435
292.0,0.049
293.0,-0.036
294.0,-0.829
295.0,0.685
296.0,0.379
297.0,-1.028
298.0,-0.835
299.0,-0.011
300.0,0.08
301.0,-0.553
302.0,-2.791
303.0,-1.86
304.0,0.026
305.0,-0.992
306.0,-0.496
307.0,0.553
308.0,-0.424
309.0,-0.316
310.0,-1.628
311.0,-1.356
312.0,-1.178
313.0,-0.526
314.0,-0.773
315.0,-1.097
316.0,-0.281
317.0,-0.078
318.0,-0.045
319.0,-0.109
321.0,-0.645
322.0,-1.919
323.0,-3.134
324.0,-0.109
325.0,-1.584
326.0,-1.574
327.0,-0.974
328.0,-1.325
329.0,-0.055
330.0,-0.765
331.0,-0.646
332.0,-0.272
333.0,0.223
334.0,0.185
335.0,-1.103
336.0,-2.962
337.0,-0.477
339.0,0.909
340.0,0.5
341.0,-1.058
342.0,1.598
343.0,0.744
344.0,-1.292
345.0,-0.199
346.0,0.078
347.0,-0.992
348.0,-1.157
349.0,-0.048
350.0,-0.314
351.0,-2.706
352.0,-0.822
353.0,-0.767
354.0,-0.352
355.0,0.414
356.0,-0.12
357.0,-0.689
358.0,0.71
359.0,0.448
360.0,-0.182
361.0,0.244
362.0,-1.841
363.0,-0.01
365.0,0.206
366.0,0.322
367.0,0.305
368.0,0.338
369.0,0.742
370.0,-1.022
371.0,-0.81
372.0,-0.929
373.0,-3.87
374.0,-1.079
375.0,0.523
376.0,-0.405
377.0,-0.12
378.0,-0.261
379.0,0.158
380.0,-0.218
381.0,0.058
382.0,-0.396
383.0,-0.767
384.0,-0.638
385.0,1.109
386.0,0.911
387.0,-0.528
388.0,-0.381
389.0,-0.154
390.0,-0.416
391.0,-1.735
392.0,-0.562
393.0,-2.237
394.0,-1.767
395.0,-0.854
396.0,0.238
397.0,-0.855
398.0,-1.875
399.0,-0.244
400.0,-1.371
401.0,1.639
402.0,-0.097
403.0,0.43
404.0,0.526
405.0,0.548
406.0,-0.385
407.0,0.534
408.0,-0.816
409.0,0.56
410.0,0.558
411.0,-0.91
412.0,-0.325
413.0,-0.278
414.0,-0.027
415.0,-1.07
416.0,-0.258
417.0,-0.107
419.0,-0.779
420.0,0.266
421.0,-0.067
422.0,-0.375
423.0,1.462
424.0,-0.468
425.0,-0.166
426.0,-0.361
427.0,-0.339
428.0,-0.134
429.0,0.966
430.0,0.175
431.0,-0.185
432.0,-0.237
433.0,0.865
434.0,0.005
436.0,-1.432
437.0,-0.185
438.0,-0.218
439.0,-0.322
440.0,-0.241
441.0,0.293
442.0,0.474
443.0,0.792
444.0,-2.535
445.0,0.603
446.0,-0.613
447.0,-1.296
448.0,-0.267
449.0,1.132
450.0,-0.066
452.0,0.031
453.0,0.33
454.0,-0.634
455.0,-0.349
456.0,-1.367
457.0,-0.889
458.0,0.124
459.0,-0.138
460.0,-0.855
461.0,-2.343
462.0,0.44
463.0,0.271
465.0,0.855
466.0,0.813
467.0,-1.889
468.0,-0.416
469.0,0.257
471.0,0.187
472.0,0.146
473.0,-2.193
474.0,0.035
475.0,-0.202
476.0,-0.619
477.0,0.662
478.0,0.604
479.0,-0.61
480.0,0.342
481.0,0.301
482.0,-1.093
483.0,-0.288
484.0,-1.682
485.0,-0.144
486.0,-0.451
487.0,0.124
488.0,0.573
489.0,-0.342
490.0,0.125
491.0,-0.751
492.0,-1.024
493.0,-0.479
494.0,0.333
495.0,-0.198
496.0,-0.577
497.0,-0.923
498.0,0.838
499.0,-0.548
500.0,-1.667
501.0,-0.658
502.0,-0.16
503.0,0.015
504.0,0.245
505.0,0.024
506.0,-1.709
507.0,0.4
508.0,-0.086
509.0,-0.27
510.0,-0.62
511.0,0.015
512.0,-2.783
513.0,-0.204
514.0,1.306
515.0,-2.288
516.0,0.147
517.0,0.228
518.0,-0.504
519.0,0.69
520.0,-1.043
521.0,1.104
522.0,0.053
523.0,-0.418
524.0,-0.141
525.0,-0.134
526.0,-1.445
527.0,1.215
528.0,0.689
529.0,0.662
530.0,0.322
531.0,0.257
532.0,-0.498
533.0,-0.247
534.0,0.175
535.0,-0.307
536.0,-0.254
537.0,-1.041
538.0,-0.731
539.0,-1.662
540.0,0.028
541.0,-0.618
542.0,-0.551
544.0,0.007
545.0,-0.708
546.0,0.246
547.0,0.006
548.0,0.393
549.0,-0.047
551.0,-1.618
552.0,0.839
553.0,-1.372
554.0,0.232
555.0,-3.183
556.0,0.713
557.0,1.177
558.0,-1.914
559.0,-0.64
560.0,-1.621
561.0,-0.164
562.0,0.134
563.0,-0.12
564.0,-0.241
565.0,-1.618
566.0,-3.212
567.0,-0.898
568.0,-2.072
569.0,-0.012
570.0,0.745
571.0,0.786
572.0,0.194
573.0,0.557
574.0,-3.362
575.0,-0.027
576.0,0.003
577.0,0.729
578.0,0.572
579.0,-0.943
580.0,0.562
581.0,-1.254
582.0,-0.228
583.0,-0.812
584.0,-0.064
585.0,-0.012
586.0,-1.997
587.0,-0.861
588.0,0.503
589.0,0.191
590.0,-0.459
591.0,-0.297
592.0,0.074
593.0,1.009
594.0,-0.967
595.0,0.484
596.0,0.724
597.0,-0.513
598.0,-1.912
599.0,0.525
600.0,0.396
601.0,-0.744
602.0,0.293
603.0,-0.223
604.0,-1.184
605.0,-0.585
606.0,-0.016
607.0,-0.038
608.0,-1.833
609.0,0.263
611.0,-0.665
612.0,-0.021
613.0,0.825
614.0,0.673
615.0,-2.637
616.0,-0.026
617.0,0.771
618.0,0.06
620.0,-0.652
621.0,-0.21
622.0,-1.979
623.0,-1.15
624.0,0.269
625.0,0.677
626.0,-0.244
627.0,-0.112
628.0,-0.444
630.0,-0.055
631.0,0.067
632.0,-1.134
633.0,-0.631
634.0,0.587
635.0,0.001
636.0,-0.661
637.0,-0.07
638.0,0.011
639.0,0.028
640.0,-0.697
641.0,-1.195
642.0,-2.421
643.0,-1.959
644.0,-0.728
645.0,0.491
646.0,0.184
647.0,-0.547
648.0,-0.186
649.0,0.101
650.0,-2.098
651.0,-1.887
652.0,0.173
653.0,0.044
654.0,-0.845
655.0,0.211
656.0,0.001
657.0,0.214
658.0,0.609
659.0,-2.15
660.0,0.03
661.0,-0.828
662.0,-1.793
663.0,-1.101
664.0,0.516
665.0,-0.658
666.0,0.194
667.0,0.506
668.0,-0.737
669.0,-0.447
670.0,-0.641
671.0,-1.291
672.0,-1.728
673.0,-0.429
674.0,-0.636
675.0,-1.275
676.0,-1.285
677.0,-1.758
678.0,-0.899
679.0,-0.264
680.0,-0.372
681.0,-0.835
682.0,-0.419
683.0,-0.92
684.0,0.031
685.0,-1.274
686.0,-1.385
687.0,-0.692
688.0,-0.238
689.0,-0.259
690.0,-0.78
691.0,-0.11
692.0,-1.002
693.0,-1.274
694.0,-0.274
696.0,-0.368
697.0,0.006
698.0,-1.585
699.0,-2.202
700.0,-0.548
701.0,-0.331
702.0,-0.062
703.0,-1.557
704.0,-0.872
705.0,0.057
706.0,-0.052
707.0,0.059
708.0,-0.216
709.0,-1.17
710.0,-1.608
711.0,-1.492
716.0,0.166
717.0,-0.563
718.0,-0.256
719.0,-0.61
720.0,-1.897
721.0,0.169
722.0,0.237
723.0,-0.062
724.0,-0.305
725.0,-0.654
726.0,-0.373
727.0,-0.418
728.0,-0.856
729.0,-0.668
730.0,0.017
731.0,-0.167
732.0,-0.35
733.0,-0.376
734.0,-1.051
