id,ddG_DynaMut2,url
1F,-1.23,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265851897
1R,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658525792
2F,-1.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658532815
2R,-2.07,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658540101
3F,-1.75,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658546646
3R,-1.75,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658553681
4F,-2.18,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658560979
4R,-1.6,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658567615
5F,-2.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658575196
5R,-1.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658578228
6F,-2.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658580873
6R,1.02,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658583507
7F,-0.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658586277
7R,-0.77,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265858913
8F,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658592052
9F,-2.91,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265859517
9R,-0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658597885
10F,-1.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658600549
11F,-0.77,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658603587
11R,-0.37,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658606251
12F,-3.53,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658608888
12R,1.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265861156
13F,-1.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658614212
13R,-0.91,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658616886
14F,-1.92,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658619549
14R,-0.87,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658622311
15F,-0.67,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658624955
15R,-0.27,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658627638
16F,-3.51,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658630332
16R,0.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658632884
17F,-1.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658635854
17R,-0.76,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658638705
18F,-0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658641363
18R,-1.13,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658644129
19F,-0.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658646852
19R,-1.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658649681
