id,ddG_DynaMut2,url
1F,-1.23,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566022889
1R,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566029851
2F,-1.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566036876
2R,-2.07,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566044532
3F,-1.75,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566051345
3R,-1.75,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566058269
4F,-2.18,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566064792
4R,-1.6,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566072582
5F,-2.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566080283
5R,-1.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566083765
6F,-2.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16256608715
6R,1.02,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16256609058
7F,-0.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566093733
7R,-0.77,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566097095
8F,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566100431
9F,-2.91,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566104569
9R,-0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566107562
10F,-1.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566110705
11F,-0.77,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566114209
11R,-0.37,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566116954
12F,-3.53,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16256612010
12R,1.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566123083
13F,-1.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566126424
13R,-0.91,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566129299
14F,-1.92,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566132355
14R,-0.87,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566135666
15F,-0.67,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566138303
15R,-0.27,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566140966
16F,-3.51,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566144306
16R,0.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566147173
17F,-1.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566150318
17R,-0.76,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566153439
18F,-0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566156242
18R,-1.13,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16256615926
19F,-0.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566162118
19R,-1.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566165066
20F,0.3,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566168028
20R,-1.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566170991
21F,-0.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162566173927
21R,-0.31,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16256617697
