id,ddG_IMutant3
2.0,-0.76
3.0,-1.53
7.0,-1.03
12.0,-2.1
15.0,-1.79
17.0,-1.0
18.0,-0.53
20.0,-1.46
21.0,-0.94
24.0,-0.98
29.0,-0.63
34.0,-1.5
35.0,-1.7
40.0,-1.86
43.0,-1.6
44.0,0.11
50.0,-0.93
54.0,0.39
56.0,-1.16
63.0,-1.31
65.0,-1.72
77.0,-1.3
79.0,-2.43
83.0,-1.21
86.0,-1.94
87.0,-1.18
93.0,-0.11
95.0,-0.38
97.0,-1.45
99.0,-0.32
106.0,-0.51
110.0,-0.89
111.0,-0.91
113.0,-0.94
119.0,-0.84
122.0,-0.49
130.0,-0.69
132.0,-0.5
134.0,-0.68
140.0,-0.7
141.0,-0.44
143.0,-1.18
145.0,0.37
146.0,-0.74
162.0,-1.07
165.0,-0.56
171.0,-1.77
183.0,-0.88
186.0,-1.36
187.0,-1.17
190.0,0.05
193.0,-0.01
201.0,0.26
203.0,-0.92
204.0,-0.16
207.0,-2.27
208.0,-0.2
212.0,-1.69
225.0,-0.64
227.0,-0.04
233.0,-1.77
234.0,-1.07
235.0,-0.52
237.0,-1.21
238.0,0.04
244.0,-0.25
247.0,-0.31
249.0,-0.39
251.0,-0.21
252.0,-0.88
257.0,-1.47
258.0,-0.92
261.0,-1.69
263.0,2.07
264.0,-0.48
265.0,-1.2
266.0,-1.85
270.0,-0.51
276.0,-0.43
277.0,-1.53
278.0,-2.15
279.0,-0.98
285.0,-1.52
288.0,-1.24
289.0,-1.9
293.0,-1.03
298.0,-0.96
300.0,0.49
302.0,-2.11
306.0,-0.68
307.0,0.44
311.0,-1.54
318.0,-0.12
322.0,-0.95
323.0,-1.52
325.0,-1.35
326.0,-0.35
327.0,-1.34
333.0,0.44
335.0,-1.68
339.0,-0.44
346.0,-0.6
347.0,-0.36
348.0,-1.33
350.0,-0.86
358.0,0.16
359.0,-0.53
360.0,-1.19
363.0,-0.9
365.0,-1.2
367.0,0.0
369.0,-0.2
370.0,-1.95
373.0,-1.47
374.0,-1.61
376.0,-0.72
377.0,-0.47
379.0,-0.16
382.0,0.23
385.0,-0.06
393.0,-0.98
396.0,-0.25
398.0,-1.21
399.0,-0.25
407.0,0.34
408.0,-0.95
409.0,1.36
412.0,-0.87
416.0,0.53
419.0,-0.8
426.0,0.27
427.0,-0.46
432.0,-1.07
437.0,1.23
439.0,-0.16
440.0,-1.51
442.0,-1.3
444.0,-1.05
447.0,-1.48
448.0,-0.75
450.0,0.1
453.0,0.01
454.0,0.45
456.0,-1.16
457.0,-1.48
458.0,-0.28
460.0,-1.01
462.0,0.13
463.0,-0.4
467.0,-1.38
472.0,-0.18
473.0,-1.27
476.0,-0.7
483.0,-0.92
485.0,-1.44
487.0,0.38
490.0,0.41
494.0,0.15
495.0,-1.85
496.0,-0.32
497.0,-0.34
500.0,-1.68
501.0,-1.63
504.0,-0.23
505.0,0.08
506.0,-1.71
508.0,-0.19
512.0,-1.39
515.0,-1.95
520.0,-0.59
523.0,-0.48
525.0,-0.61
530.0,-0.83
532.0,-0.29
533.0,-0.04
534.0,0.02
537.0,-1.56
538.0,-1.39
541.0,-0.67
544.0,-0.01
545.0,-0.6
546.0,-0.33
551.0,-0.72
553.0,-1.06
560.0,-1.22
563.0,-0.55
565.0,-1.12
566.0,-1.57
568.0,-2.04
569.0,-0.67
573.0,0.25
576.0,0.86
578.0,-0.34
579.0,-0.65
580.0,-0.08
582.0,-0.82
584.0,-0.48
588.0,-0.21
590.0,-0.65
591.0,0.09
594.0,-0.65
598.0,-1.61
601.0,-0.53
604.0,-0.31
605.0,-1.25
607.0,-1.23
615.0,-1.65
616.0,-0.51
623.0,-0.39
628.0,-0.33
632.0,-0.66
633.0,-0.54
668.0,-0.65
669.0,-0.11
670.0,-1.65
678.0,-0.78
685.0,-1.99
686.0,-0.98
688.0,-0.98
689.0,-0.8
690.0,-0.83
691.0,-1.18
692.0,-1.05
693.0,-1.53
696.0,-1.49
700.0,-1.04
701.0,-0.98
702.0,-0.52
712.0,-0.86
734.0,-1.38
735.0,-1.84
736.0,-0.56
737.0,-1.37
738.0,-0.99
