id,ddG_IMutant3
1R,-0.64
2R,-0.68
3R,-0.77
4R,-0.29
5F,-1.67
5R,-1.36
6F,-3.69
6R,-0.44
7F,-1.73
7R,-0.82
8F,-1.38
8R,-0.22
9F,-3.17
9R,-0.57
10F,-1.19
10R,-0.98
11F,-1.32
11R,-1.11
12F,-3.3
12R,-0.46
13F,-1.21
13R,-0.75
14F,-1.62
14R,-1.09
15F,-1.47
15R,-1.0
16F,-3.42
16R,-0.63
17F,-1.1
17R,-0.54
18R,-1.64
19R,-1.0
20R,-1.75
21F,-1.24
22F,-0.77
23F,-0.82
24F,-0.99
25F,-1.19
25R,-1.74
26F,-0.79
27F,-0.07
27R,-2.2
28F,-0.87
29F,-0.44
30F,-0.47
31F,-0.51
31R,-0.89
32F,-1.35
33F,-0.76
34F,0.0
35F,-0.25
36F,-1.27
37F,-0.82
38F,-0.97
39F,-0.38
40F,-0.9
41F,-0.58
42F,-1.3
43F,-2.07
45F,-0.65
46F,-0.77
47F,-0.25
48F,-0.4
48R,-0.9
49F,-1.82
49R,0.03
50F,-1.36
50R,0.31
51F,-1.39
51R,0.17
55R,-0.97
56R,-0.96
62R,-0.23
66R,-1.56
77R,-0.71
85R,0.09
87R,0.29
94R,-0.13
99R,-0.34
100R,-1.17
101R,-0.5
104R,-0.45
106R,-0.93
107R,-0.68
109R,-0.2
110R,-0.39
113R,-1.94
114R,-3.53
116R,-2.78
123R,-1.32
124R,-0.94
125R,-1.52
128R,-0.46
129R,-0.95
130R,-0.81
131R,-1.41
132R,-0.53
139R,-0.23
141R,0.29
142R,-0.34
145R,-0.28
146R,-0.73
147R,-3.0
148R,-2.11
150R,-0.58
151R,-0.95
155R,-0.47
156R,-0.0
157R,-1.06
158R,-1.06
160R,-0.13
161R,-1.09
162R,-0.7
163R,-2.36
164R,-0.47
165R,-1.42
172R,-0.0
173R,0.43
174R,0.26
175R,0.51
176R,0.73
177R,0.31
178R,-0.48
179R,0.13
180R,-0.34
197R,-0.21
198R,-0.01
199R,-0.52
200R,-0.18
201R,-0.45
202R,-0.18
203R,0.27
204R,0.48
205R,0.18
218R,0.52
219R,-0.17
220R,0.19
221R,-0.2
222R,0.2
223R,0.53
224R,0.42
225R,-0.2
227R,0.19
232F,-0.77
232R,-1.35
233F,-0.76
233R,-1.11
234F,0.49
234R,0.06
245R,-0.75
324R,-0.41
325R,-0.86
327R,-1.28
329R,-0.77
330R,-0.91
331R,-0.64
332R,-1.01
335R,-0.68
336R,-0.69
337R,-0.55
179R_175F,0.03
200R_203F,-0.13
222R_218F,0.32
164R_165F,0.0
177R_178F,0.41
205R_199F,0.24
224R_221F,0.62
174R_178F,0.5
202R_199F,-0.05
227R_221F,0.52
178R_175F,-1.04
199R_203F,-0.9
221R_218F,-0.49
3R_2F,-0.7
177R_179F,0.21
205R_200F,0.22
224R_222F,0.43
77R_71F,-0.13
172R_171F,-0.26
197R_196F,-0.55
219R_217F,-0.22
198R_196F,-0.78
220R_217F,-0.43
176R_175F,0.23
204R_203F,0.16
223R_218F,0.42
160R_157F,0.32
1R_2F,-0.33
172R_179F,0.03
197R_200F,-0.07
219R_222F,0.08
113R_114F,-0.42
162R_164F,-1.04
172R_174F,-0.28
197R_202F,-0.4
219R_227F,-0.23
198R_202F,-0.48
220R_227F,-0.25
174R_180F,0.37
202R_201F,-0.06
180R_177F,-0.15
201R_205F,-0.28
225R_224F,0.16
227R_225F,0.48
172R_176F,-0.45
197R_204F,-0.59
219R_223F,-0.37
198R_204F,-0.48
220R_223F,-0.2
198R_200F,-0.18
220R_222F,0.04
156R_155F,-0.46
177R_173F,-0.06
157R_155F,-2.13
205R_206F,0.08
116R_114F,-1.09
174R_177F,0.23
202R_205F,-0.15
227R_224F,0.42
175R_178F,0.71
203R_199F,0.43
218R_221F,0.83
174R_172F,-0.94
202R_197F,-1.01
227R_219F,-0.25
177R_172F,-0.18
205R_197F,-0.06
224R_219F,0.32
174R_173F,-0.2
202R_206F,-0.28
173R_175F,0.17
2R_3F,-0.26
180R_172F,-0.96
201R_197F,-0.89
225R_219F,-0.27
179R_178F,0.26
200R_199F,-0.13
222R_221F,0.48
161R_165F,-0.41
1R_3F,-0.21
77R_79F,-0.43
155R_156F,-1.86
156R_157F,0.44
197R_198F,-0.2
219R_220F,0.05
325R_324F,-1.1
165R_161F,-1.52
9R_10F,-0.57
12R_13F,-0.52
16R_17F,-0.71
180R_171F,-0.63
201R_196F,-0.66
225R_217F,-0.15
175R_180F,0.63
177R_174F,0.15
203R_201F,0.45
205R_202F,0.13
218R_225F,0.8
224R_227F,0.35
174R_171F,-0.44
202R_196F,-0.66
227R_217F,-0.01
180R_179F,0.04
201R_200F,-0.02
225R_222F,0.27
77R_70F,0.03
27R_29F,-0.89
163R_165F,-0.96
176R_178F,0.86
204R_199F,0.53
180R_178F,-0.11
201R_199F,-0.3
179R_177F,0.2
200R_205F,-0.1
222R_224F,0.44
223R_221F,0.79
225R_221F,0.17
177R_176F,-0.12
205R_204F,-0.04
224R_223F,0.27
175R_177F,0.55
203R_205F,0.3
218R_224F,0.68
174R_179F,0.31
202R_200F,0.01
227R_222F,0.43
175R_172F,0.08
203R_197F,-0.02
218R_219F,0.43
150R_151F,-0.85
180R_176F,-0.56
201R_204F,-0.52
225R_223F,-0.13
179R_180F,0.41
200R_201F,0.16
222R_225F,0.6
179R_173F,-0.15
200R_206F,-0.22
164R_161F,-0.65
175R_173F,0.37
203R_206F,0.31
77R_76F,-0.86
221R_225F,0.1
177R_175F,-0.03
205R_203F,-0.01
174R_176F,-0.28
202R_204F,-0.43
224R_218F,0.3
227R_223F,0.05
3R_4F,-0.67
1R_4F,-0.62
151R_150F,-0.99
178R_180F,-0.35
4R_3F,0.07
199R_201F,-0.35
180R_174F,-0.01
201R_202F,-0.12
225R_227F,0.18
179R_172F,-0.54
200R_197F,-0.67
222R_219F,0.0
178R_177F,-0.56
199R_205F,-0.58
221R_224F,-0.08
176R_177F,0.61
204R_205F,0.38
223R_224F,0.65
161R_164F,-1.12
2R_4F,-0.57
172R_175F,-0.39
197R_203F,-0.6
219R_218F,-0.36
178R_172F,-1.43
199R_197F,-1.24
221R_219F,-0.62
165R_164F,-1.71
176R_180F,0.76
204R_201F,0.56
223R_225F,0.78
77R_78F,-0.44
178R_173F,-0.96
199R_206F,-0.7
176R_173F,0.32
