id,ddG_INPS3D,url
1F,-0.9027915,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=489ef3ce-e728-44d7-8f61-a139077079be
1R,-0.672667,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=4deadc33-216b-42b2-b193-db95b04cac5b
2F,-1.862565,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=2ddc7254-d0ab-4424-92c7-7243f29726ac
2R,0.3130065,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=4f780ff3-80eb-41ae-8e18-884118f64c36
3F,-1.1699525,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=2aed5528-8ee5-469c-aca0-eeb718a5b2de
3R,-0.47225575,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=02e51b2b-6a86-4b4a-83c2-238c5341ff89
4F,-1.009943,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=87361c7c-fdb9-4412-8a9a-c29a8b322172
4R,0.21325445,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=1e1d018c-c89c-4c1c-80f5-cfdca616724e
5F,-0.7241895,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=b59de211-9319-4d81-bd2e-ac7ec8c455b2
5R,-0.3832405,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=2debc209-c9d4-4349-ab5c-a842614a59b0
6F,-2.458935,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=b9ce243d-8835-4e37-aea1-a6731a89a748
6R,1.308945,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=f4056372-c069-4f7d-8261-44e176d0b035
7F,-1.064145,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=46771e53-ba9f-4052-be32-f84a426cab23
7R,0.5699478,https://inpsmd.biocomp.unibo.it/inpsSuite/default/display_results.html?jobid=5b195f9a-8bf7-41f0-88f2-b0120a263107
