id,ddG_MAESTRO,ddG_confidence
1F,1.47714,0.81371
1R,2.18745,0.79616
2F,1.31114,0.84034
2R,2.34538,0.79144
3F,1.36661,0.7751
3R,2.31253,0.80999
4F,2.04095,0.79894
4R,1.57965,0.78666
5F,-0.88186,0.90084
5R,0.95477,0.83879
6F,2.54042,0.74315
6R,-1.2498,0.70133
7F,0.82275,0.79038
7R,-0.99426,0.8774
8F,0.51392,0.79096
8R,-0.76885,0.87857
9F,2.02814,0.77368
9R,-1.15548,0.88816
10F,-0.01998,0.89325
10R,-0.24416,0.89547
11F,0.042,0.96324
11R,-0.2913,0.88814
12F,3.33042,0.90448
12R,-1.30591,0.69335
13F,0.10762,0.89389
13R,-1.07085,0.84379
14F,-0.15893,0.90892
14R,-0.58391,0.86558
15F,-1.87578,0.78328
15R,0.0683,0.87803
16F,2.97769,0.92584
16R,-1.25364,0.72232
17F,-0.78571,0.85595
17R,-0.8773,0.87581
18F,-0.63863,0.0
18R,2.42424,0.87313
19F,-2.84989,0.09314
19R,1.59588,0.87287
20F,-0.53268,0.0
20R,2.47612,0.86518
21F,0.37944,0.94809
21R,1.514,0.8718
22F,0.51902,0.91557
22R,1.31746,0.90438
23F,0.67871,0.91096
23R,1.48064,0.88919
24F,0.89187,0.92295
24R,1.24391,0.91213
25F,0.02641,0.89886
25R,1.24624,0.8856
26F,-0.23094,0.94886
26R,1.81105,0.86274
27F,0.25917,0.92116
27R,2.02778,0.8613
28F,1.39718,0.90338
28R,0.631,0.9149
29F,0.18245,0.90491
29R,1.73864,0.90098
30F,0.29679,0.91286
30R,1.05894,0.92226
31F,0.05126,0.93631
31R,1.41395,0.91018
32F,2.50465,0.83094
32R,-0.13867,0.94007
33F,-0.09454,0.90632
33R,2.49841,0.82401
34F,0.23194,0.95067
34R,2.08188,0.86395
35F,-0.15415,0.95916
35R,2.54763,0.83363
36F,2.97176,0.8315
36R,-0.05678,0.85846
37F,1.09323,0.90459
37R,0.64943,0.93144
38F,1.03027,0.93403
38R,0.55333,0.91307
39F,0.59574,0.90351
39R,0.29896,0.89622
40F,1.50525,0.89831
40R,0.53432,0.90668
41F,-0.56262,0.89676
41R,1.25914,0.84878
42F,-0.1442,0.93631
42R,-0.28916,0.90588
43F,0.53411,0.93496
43R,0.63245,0.86759
44F,-0.09454,0.90854
44R,0.09727,0.86837
45F,0.5918,0.87519
45R,0.67751,0.9024
46F,0.70016,0.9265
46R,0.4852,0.88082
47F,0.31775,0.87707
47R,0.65665,0.9328
48F,0.04525,0.93055
48R,2.02919,0.85911
49F,1.62622,0.8216
49R,1.33564,0.79799
50F,1.71094,0.79612
50R,1.24219,0.76965
51F,2.70317,0.72637
51R,-0.38448,0.7288
52F,2.12399,0.84993
52R,0.31609,0.9287
53F,1.65562,0.8797
53R,-0.23625,0.81395
54F,0.7426,0.87975
54R,0.77252,0.87776
55F,0.38634,0.89042
55R,0.39167,0.92935
56F,0.63923,0.90728
56R,0.08242,0.93579
57F,1.80768,0.87051
57R,-0.14674,0.88895
58F,1.57909,0.86413
58R,0.04867,0.9295
59F,0.91251,0.8975
59R,-0.20022,0.94055
60F,0.72541,0.90217
60R,0.65672,0.91759
61F,2.03443,0.86149
61R,-0.21457,0.82951
62F,1.1748,0.93622
62R,0.00462,0.94104
63F,2.00918,0.85791
63R,0.13549,0.89028
64F,0.57041,0.92636
64R,0.86567,0.89437
65F,-0.37076,0.69308
