id,ddG_PremPS,url
1,3.06,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305233535541553287
2,0.57,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305281085781547793
0,0.13,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305362182175936543
3,0.61,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305410511809951408
4,0.01,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305461263418926808
5,2.38,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305503396573104222
8,0.2,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072305550559189674295
9,0.07,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072306000228220684712
10,1.96,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072306045835372470174
11,1.84,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072306102620402463828
13,0.64,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072306152071411420375
14,1.19,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072306194506948992818
16,0.03,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072308594197115743629
20,1.55,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309052259687464389
21,0.89,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309120190254375818
22,0.44,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309172532648785854
23,1.82,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309220220435965028
25,-0.28,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309272056722963630
26,0.72,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309303763503162379
27,0.25,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309330575115614218
29,-0.46,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309365172893553334
30,0.98,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309472998491396261
31,2.63,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309514393218984337
32,1.16,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072309583613373360635
33,0.87,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310033797074117035
34,2.19,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310065303940945985
36,0.14,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310112837570083537
37,0.41,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310144111861723066
38,-0.21,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310190341630770788
39,3.28,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310243593739520961
40,2.24,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310285912241748487
41,-0.02,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310343242945813799
42,1.7,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310393187487843597
43,2.79,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310443541653371232
44,0.04,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310490632976925781
45,-0.08,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310514669507901000
47,2.03,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072310543825589929979
49,0.02,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311003265049499449
50,1.2,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311050003777188093
51,2.32,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311093386421530165
52,2.38,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311140040869465687
53,-0.44,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311185838885022063
54,-0.17,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311224743310472417
55,0.04,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311245304528864975
56,0.71,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311302637943042653
57,-0.08,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311334402100790647
59,0.84,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311382782860685225
60,1.43,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311422351468357959
61,0.34,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311465314428170601
62,0.14,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311524542215736520
63,1.6,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311553332685559990
64,0.28,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072311594878455716393
65,1.07,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312045913093054119
66,0.59,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312090617510512191
67,2.23,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312144095867979476
68,-1.14,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312204179222315592
72,0.34,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312254383918009176
73,1.23,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312302125211193117
74,-0.36,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312345858949402240
75,2.12,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312412545911273727
76,1.19,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312444796988705676
77,1.53,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312492354832163990
78,0.09,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312543532128926543
80,0.19,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072312592149152953331
81,0.01,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313055348410523578
82,0.24,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313121952958180681
83,0.4,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313150879959564116
85,3.53,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313195964177814697
87,1.92,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313241577895397627
88,1.59,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313280624164527261
89,0.9,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313332771261634095
90,-1.37,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313373873611252367
91,2.22,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313440854742475960
94,0.79,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313481974007803724
95,1.17,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313544374263422530
98,-0.05,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072313581625239408774
99,0.97,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072314025567794344390
100,1.57,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072314070195389928843
101,1.58,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072314121389056918239
102,-0.12,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072314172568367500523
103,0.35,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072314223386589674507
104,1.28,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021072314263469217409733
