id,ddG_PremPS,url
1F,0.76,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021070919141348179425946
1R,-1.66,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021070919270686214434147
2F,0.7,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021070919375433752288478
2R,-0.83,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071002315751045607420
3F,1.29,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071002442935827993001
3R,-1.64,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071002554355667085277
4F,1.84,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003073545862376748
4R,-1.72,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003182252851783084
5F,2.99,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003301845604782485
5R,-2.0,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003351796748231677
6F,3.81,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003394143815401062
6R,-3.36,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003440769825863443
7F,1.71,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003483658367334300
7R,-1.63,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003522699695279843
8F,1.51,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071003564995188423565
9F,2.25,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004030483655944767
9R,-2.31,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004083588656110316
10F,0.58,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004133449289313429
11F,1.59,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004180493579425775
11R,-1.35,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004223006935748165
12F,3.4,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004262281584809623
12R,-2.89,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004301280726928185
13F,1.22,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004340318739173110
13R,-1.22,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004382773353476537
14F,0.54,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004421710290317923
14R,-0.71,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004461323855418735
15F,1.47,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004500250980549237
15R,-1.47,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004542486886620493
16F,3.38,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071004582930309731887
16R,-2.83,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005122512827866113
17F,1.04,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005161562642084511
17R,-1.05,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005200653413704766
18R,0.72,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005240039880354073
19R,1.18,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005363388875557739
20R,1.72,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005424606379716262
21F,0.96,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005485650092802638
21R,-0.84,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005543462388378563
22F,0.66,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071005590252272208871
22R,-0.94,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006051483524397453
23F,0.32,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006101713003235078
23R,-0.44,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006151202469602316
24F,0.94,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006204436108940445
24R,-0.71,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006254967287099750
25F,0.21,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006320130150021331
25R,-0.2,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006373468818597798
26F,-0.09,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006424095641799995
26R,-0.38,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006474418298106964
27R,-0.11,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006531581536092601
28R,-0.94,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071006590294588382906
29F,-0.3,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007054848382761186
30F,0.15,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007114002562260850
30R,-0.36,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007175615196555170
31F,0.06,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007232995093242845
31R,-0.27,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007283105999901244
32F,1.99,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007333711625426677
33F,0.65,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007385183006205103
34R,0.21,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007453578119964575
35F,-0.82,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007503664025679649
36F,4.21,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071007555066623455190
37F,0.57,https://lilab.jysw.suda.edu.cn/research/PremPS/job/2021071008014516425696472
