id,ddG_SDM2
1F,-1.51
1R,-1.31
2F,-1.17
2R,-0.84
3F,-1.64
3R,-1.36
4F,-1.59
4R,0.61
5F,0.64
5R,-0.63
6F,-3.54
6R,-0.43
7F,-0.08
7R,-0.6
8F,-2.17
8R,-0.57
9F,-4.0
9R,-0.61
10F,-2.19
10R,-0.54
11F,0.03
11R,-0.58
12F,-4.43
12R,0.48
13F,-2.06
13R,-0.68
14F,-1.57
14R,-1.25
15F,0.98
15R,-1.7
16F,-4.4
16R,0.48
17F,-2.04
17R,-0.88
18F,0.24
18R,-2.36
19F,0.27
19R,-0.92
20F,-0.53
20R,-1.51
21F,0.12
21R,-0.59
22F,0.74
22R,-1.34
23F,-1.38
23R,-1.41
24F,0.65
24R,-0.8
25F,1.04
25R,-1.04
26F,0.61
26R,-1.49
27F,0.8
27R,-2.66
28F,-0.69
28R,-0.34
29F,0.96
29R,-1.96
30F,-0.05
30R,-0.06
31F,1.58
31R,-1.57
32F,-0.77
32R,-0.71
33F,1.77
33R,-2.37
34F,-0.15
34R,-2.56
35F,0.23
35R,-3.04
36F,-2.74
36R,0.9
37F,-0.8
37R,0.65
38F,-2.06
38R,-0.73
39F,-0.23
39R,0.23
40F,-2.14
40R,-0.57
41F,0.52
41R,-2.96
42F,0.67
42R,-1.92
43F,4.69
43R,-4.29
44F,1.28
44R,-1.16
45F,0.26
45R,-0.29
46F,-0.54
46R,0.26
47F,-0.05
47R,-0.06
48F,1.16
48R,-1.73
49F,-0.71
49R,-0.37
50F,-0.58
50R,0.28
51F,-0.05
51R,0.16
52F,-0.53
52R,-1.53
53F,-1.21
53R,-1.69
54F,-0.07
55F,-0.84
55R,0.55
56F,-2.17
56R,0.9
57F,-4.72
57R,0.76
58F,0.25
58R,-0.91
59F,0.08
59R,0.07
60F,0.08
60R,-0.17
61F,-4.41
61R,0.48
62F,-1.44
62R,0.37
63F,-3.25
63R,-0.75
64F,-0.09
64R,0.63
65F,-1.39
65R,1.58
66F,-1.14
66R,-0.87
67F,-3.0
67R,2.53
68F,0.72
68R,-0.72
69F,1.58
69R,-1.57
70F,1.05
70R,-0.8
71F,1.53
71R,-1.41
72F,0.78
72R,-0.58
73F,1.71
73R,-1.28
74F,0.21
74R,0.18
75F,1.07
75R,-0.92
76F,-0.17
76R,0.11
77F,0.54
77R,-0.53
78F,-0.48
78R,0.49
79F,-0.21
79R,0.57
80F,0.77
80R,-0.77
81F,-3.54
81R,-0.43
82F,0.47
82R,-0.47
83F,-1.49
83R,1.49
84F,-2.31
84R,-1.62
85F,-0.58
85R,-0.35
86F,-4.49
86R,0.05
87F,-2.66
87R,1.21
88F,0.05
88R,-0.8
89F,-0.47
89R,0.17
90F,0.06
90R,-0.29
91F,-0.54
91R,0.29
92F,0.24
92R,0.08
93F,-0.12
93R,-0.75
94F,-0.99
94R,0.18
95F,-2.05
95R,-2.0
96F,-0.99
96R,1.15
97F,-1.57
97R,1.49
98F,-1.13
98R,1.14
99F,-3.16
99R,-0.76
100F,-0.31
100R,-0.29
101F,-2.61
101R,-0.11
102F,-0.39
102R,0.4
103F,-3.23
103R,-0.71
104F,-0.52
104R,0.14
105F,-0.88
105R,-0.85
106F,-0.72
106R,-0.97
107F,-0.15
107R,-2.55
108F,-2.37
108R,1.04
109F,-3.45
109R,-0.23
110F,-1.09
110R,-0.19
111F,-0.26
111R,0.31
112F,-1.57
112R,1.58
113F,-0.62
113R,-0.59
114F,-0.73
114R,-3.54
115F,-3.0
115R,2.53
116F,-1.14
116R,-0.87
117F,-3.23
117R,0.45
118F,-1.31
118R,-1.39
119F,-0.51
119R,0.36
120F,-0.99
120R,-0.13
121F,-3.03
121R,0.23
122F,-3.15
122R,-0.76
123F,-0.53
123R,-0.35
124F,-2.55
124R,-0.18
125F,1.16
125R,-2.62
126F,-0.08
126R,-0.99
127F,-0.88
127R,-0.85
128F,-0.15
128R,-2.5
129F,-0.73
129R,-1.05
130F,0.03
130R,-0.32
131F,-0.42
131R,0.2
132F,0.11
132R,-0.11
133F,0.54
133R,-0.53
134F,0.05
134R,-0.05
135F,0.35
135R,-0.34
136F,-0.16
136R,0.17
137F,-0.87
137R,-1.14
138F,-0.23
138R,-2.08
139F,-0.41
139R,-0.51
140F,-0.66
140R,-2.83
141F,-2.65
141R,-0.14
142F,-0.94
142R,0.12
143F,0.32
143R,-0.94
144F,-0.7
144R,0.71
145F,-0.32
145R,-0.05
146F,-0.99
146R,0.18
147F,-2.09
147R,-2.64
148F,-1.78
148R,-2.16
149F,-1.73
149R,1.26
150F,-1.26
150R,-1.34
151F,-0.99
151R,0.18
152F,-1.49
152R,1.49
153F,1.81
153R,-1.92
154F,-0.88
154R,-0.85
155F,-0.41
155R,-0.62
156F,-2.72
156R,1.47
157F,-0.11
157R,-2.55
158F,-0.56
158R,-0.99
159F,-2.37
159R,1.77
160F,-2.48
160R,1.12
161F,1.46
161R,-2.85
162F,1.63
162R,-1.96
163F,1.71
163R,-3.12
164F,-0.46
164R,-0.65
165F,1.77
165R,-2.37
166F,-2.47
166R,-1.73
167F,-0.22
167R,-0.9
168F,-1.39
168R,-1.26
169F,-0.01
169R,-0.28
170F,-2.41
170R,-1.09
171F,-1.16
171R,1.16
172F,-0.46
172R,0.47
173F,-1.12
173R,1.15
174F,-0.41
174R,0.38
175F,-1.26
175R,1.27
176F,-1.13
176R,1.13
177F,-0.63
177R,0.86
178F,-0.66
178R,0.67
179F,-0.66
179R,0.66
180F,-0.46
180R,0.47
181F,-0.16
181R,0.17
182F,-4.03
182R,0.11
183F,-2.27
183R,-0.47
184F,-0.49
184R,-0.16
185F,-0.5
185R,0.5
186F,-0.67
186R,0.67
187F,-0.78
187R,0.14
188F,-3.19
188R,-0.73
189F,-2.04
189R,0.59
190F,-2.06
190R,-0.65
191F,-4.58
191R,0.66
192F,-2.53
192R,1.09
193F,-2.15
193R,-0.57
194F,0.1
194R,-0.1
195F,-0.35
