LL000191_R,LL000192_F,LL000191_R_+_LL000192_F
LL000730_R,LL000731_F,LL000730_R_+_LL000731_F
LL000811_R,LL000812_F,LL000811_R_+_LL000812_F
LL000847_R,LL000848_F,LL000847_R_+_LL000848_F
LL000862_R,LL000863_F,LL000862_R_+_LL000863_F
LL000877_R,LL000878_F,LL000877_R_+_LL000878_F
LL000911_R,LL000912_F,LL000911_R_+_LL000912_F
LL001038_R,LL001039_F,LL001038_R_+_LL001039_F
LL001072_R,LL001073_F,LL001072_R_+_LL001073_F
LL001094_R,LL001095_F,LL001094_R_+_LL001095_F
LL000714_R,LL000716_F,LL000714_R_+_LL000716_F
PT003070_PT014131_R,PT003068_PT014129_F,PT003070_PT014131_R_+_PT003068_PT014129_F
PT003078_PT014139_VB03424_R,PT003076_PT014137_VB03426_F,PT003078_PT014139_VB03424_R_+_PT003076_PT014137_VB03426_F
PT003086_PT014147_R,PT003084_PT014145_F,PT003086_PT014147_R_+_PT003084_PT014145_F
VB00719_R,VB05893_F,VB00719_R_+_VB05893_F
VB01057_R,VB01056_F,VB01057_R_+_VB01056_F
PT003566_R,PT003575_F,PT003566_R_+_PT003575_F
PT003567_R,PT003576_F,PT003567_R_+_PT003576_F
PT003568_PT003582_R,PT003577_PT003583_F,PT003568_PT003582_R_+_PT003577_PT003583_F
PT003569_R,PT003578_F,PT003569_R_+_PT003578_F
PT003570_R,PT003579_F,PT003570_R_+_PT003579_F
PT003586_PT004716_R,PT003587_PT004718_F,PT003586_PT004716_R_+_PT003587_PT004718_F
PT015791_PT015797_PT015803_VB02872_VB05707_R,PT015790_PT015796_PT015802_F,PT015791_PT015797_PT015803_VB02872_VB05707_R_+_PT015790_PT015796_PT015802_F
VB03929_R,VB03922_F,VB03929_R_+_VB03922_F
VB04826_R,VB04824_F,VB04826_R_+_VB04824_F
VB05559_R,VB05558_F,VB05559_R_+_VB05558_F
LL001642_R,LL001640_F,LL001642_R_+_LL001640_F
LL000736_R,LL000734_F,LL000736_R_+_LL000734_F
LL000818_R,LL000815_F,LL000818_R_+_LL000815_F
LL000854_R,LL000851_F,LL000854_R_+_LL000851_F
LL000869_R,LL000866_F,LL000869_R_+_LL000866_F
